t,content,content_tokenized
0,背景通訊軟體、社群平台流傳訊息指出：「幫忙 po嗎？免費認養 60隻純種狗 狗即將安樂死 米格魯30多隻 等著認養免費認養，不認養也請幫忙轉寄，謝謝！舉手之勞，你可拯救一條寶貴的生命！請大家幫忙轉寄 板橋收容所爆滿了!...純種米格魯(公母皆有)：超過30隻拉不拉多(可魯) ：公母皆有：約20隻哈士奇 公母皆有：約10隻古代牧羊犬(公)：1隻牛頭梗(公)：1隻 (家有賤狗裡頭那隻)...想領養的朋友請直接前往:新北市板橋區流浪動物收容所...家人:這舉動就叫做種福田，散播出去，這些寵物多少一定會找到安定的家，疼愛動物的主人也同樣會感恩你，謝謝你！」圖1：通訊軟體流傳訊息擷圖圖2：社群平台流傳訊息擷圖,背景 通訊 軟體 社群 平台 流傳訊息 指出 幫忙 po 嗎 免費 認養 60 隻 純 種 狗 狗 即 將 安樂 死 米格 魯 30 多 隻 等著 認養 免費 認養 不 認養 也 請 幫 忙 轉 寄 謝謝 舉手之勞 你 可 拯救 一條 寶貴 的 生命 請 大家 幫忙 轉寄 板橋 收容所 爆滿 了 ... 純種 米格 公母 皆 有 超過 30 隻 拉 不 拉 多 可 魯 公母 皆 有 約 20 隻 哈士奇 公母 皆 有 約 10 隻 古代 牧羊犬 公 1 隻 牛 頭 梗 公 1 隻 家 有 賤 狗 裡頭那 隻 ... 想 領養 的 朋友 請 直接 前往 新北 市板 橋區 流浪 動物 收容所 ... 家人 這 舉動 就 叫做 福田 散播 出去 這些 寵物 多少 一定 會 找到 安定 的 家 疼 愛動物 的 主人 也 同樣 會 感恩 你 謝謝 你 圖 1 通訊 軟體 流傳訊息 擷 圖 圖 2 社群 平台 流傳訊息 擷圖
0,背景影音平台流傳一段影片，標題為「Trump's gang self-exposed: We are ALL vaccinated! Covid-19 is a CIA plot against all mankind!」。影片中剪輯了美國總統川普記者會片段，搭配男聲英語旁白，搭配簡體中文與英文字幕宣稱：「特朗普黑幫全都接種了新冠疫苗！2020年4月20日，特朗普的新冠新聞發布會露出驚天秘密！福克斯新聞主持約翰羅伯茨：你可以脫下口罩了，USC說病死率在0.1到0.3之間，福克斯新聞技工：真的？這的確叫人放心，不過這裡的每個人都已接種疫苗。難怪多次擁抱新冠患者的特朗普新冠檢測始終陰性。特朗普黑幫均已接種疫苗！疫苗需經多年測試才能臨床應用。特朗普黑幫肯定早已製成疫苗，然後策畫這場流行病，以摧毀中國、所有美國的假想敵人，所有的老弱病殘人口。」此網傳影片現因違反YouTube社群規範而被移除，不過此傳言仍在通訊軟體流傳。圖1、2、3、4：網傳影片擷圖 圖5：網傳影片因違反社群規範已被移除圖6：通訊軟體流傳訊息擷圖,背景 影音 平台 流傳 一段 影片 標題 為 Trump gang self exposed We are ALL vaccinated Covid 19 is CIA plot against all mankind 影片 中 剪輯 了 美國 總統 川 普 記者 會 片段 搭配 男聲 英語 旁白 搭配 簡體 中文 與 英文 字幕 宣稱 特朗普 黑 幫 全都 接種 了 新冠 疫苗 2020 年 4 月 20 日 特朗普 的 新冠 新聞 發布 會 露出 驚天 秘密 福克斯 新聞 主持 約翰羅伯茨 你 可以 脫下 口罩 了 USC 說 病死率 在 0.1 到 0.3 之間 福克斯 新聞 技工 真的 這 的 確叫 人 放心 不過 這裡 的 每個 人 都 已 接種 疫苗 難怪 多次 擁抱 新冠 患者 的 特朗普 新冠 檢測 始終 陰性 特朗普 黑 幫 均 已 接種 疫苗 疫苗 需經 多年 測試 才能 臨床 應用 特朗普 黑 幫 肯定 早已 製 成 疫苗 然 後 策畫 這場 流行病 以 摧毀 中國 所有 美國 的 假想 敵人 所有 的 老弱 病 殘 人口 此 網 傳 影片 現因 違反 YouTube 社群 規範 而 被 移除 不過 此 傳言 仍 在 通訊 軟體 流傳 圖 1 網傳 影片 擷 圖 圖 5 網傳 影片 因 違反 社群 規範 已 被 移除 圖 6 通訊 軟體 流傳訊息 擷圖
0,背景最近網路盛傳一則傳言：「印度捉到沒有戴口罩的市民 ，關到一架救護車裡鎖住 ，裡面有一個假扮確診的患者......😂！這個好笑！」、「印度警方把不戴口罩的人；扔進有病患者（假裝）的救護車中！🤭嚇的半死的一幕，實在太好笑了…」。此傳言搭配一支影片，影片長度3分50秒，畫面可以看到警方攔下路上沒戴口罩的機車騎士，並將他們與一名疑似假扮的COVID-19患者一同關在救護車內，騎士們驚慌並從窗戶竄逃爬出。影片中也傳出圍觀人群的譏笑聲。圖1、2：通訊軟體傳言擷圖圖3、4：社群平台傳言擷圖圖5：內容農場傳言擷圖,背景 最近 網路 盛傳 一則 傳言 印度 捉到 沒有 戴 口罩 的 市民 關到 一架 救護 車裡 鎖住 裡面 有 一個 假扮 確診 的 患者 ...... 這個 好笑 印度 警方 把 不 戴 口罩 的 人 扔 進有 病患者 假裝 的 救護車 中 嚇 的 半死 的 一幕 實在 太 好笑 了 此 傳言 搭配 一支 影片 影片 長度 3 分 50 秒 畫面 可以 看到 警方 攔下 路上 沒戴 口罩 的 機車 騎士 並 將 他們 與 一名 疑似 假扮 的 COVID 19 患者 一同 關在 救護 車內 騎士 們 驚慌 並 從 窗戶 竄 逃 爬出 影片 中 也 傳出 圍觀 人群 的 譏笑 聲 圖 1 通訊 軟體 傳言 擷 圖 圖 3 社群 平台 傳言 擷 圖 圖 5 內容 農場 傳言 擷圖
0,"背景民眾手機近日收到手機簡訊：""「您所郵寄的包裹涉嫌違規操作已退回請核對退貨地址https://is.gd/ngtvjv」""圖1：手機簡訊擷圖",背景 民眾 手機 近日 收到 手機 簡訊 您 所 郵 寄 的 包裹 涉嫌 違規 操作 已 退回 請核 對退 貨 地址 https is . gd ngtvjv 圖 1 手機 簡訊 擷圖
0,背景通訊軟體流傳一則訊息：「4月25日新聞快報。由於疫情的關係，政府決定幫助國民，無條件每個家庭將會提供援助。援助金可高達50000台幣，連續三個月，申請詳情如下：」並搭配一不明網址。圖1：網傳訊息擷圖,背景 通訊 軟體 流傳 一則 訊息 4 月 25 日 新聞 快 報 由 於 疫情 的 關 係 政府 決定 幫助 國民 無 條件 每個 家庭 將 會 提供援助 援助 金可高 達 50000 台幣 連續 三個 月 申請 詳情 如下 並 搭配 一 不明 網址 圖 1 網傳訊息 擷圖
0,背景通訊軟體、社群平台流傳一張圖片，搭配文字訊息指出：「一位護士在摘掉口罩和眼鏡罩後，在紫外線下顯出臉上仍有殘留的病毒。這就是為什麼外出回家後，一定要馬上緊閉眼睛洗臉。」此圖片也搭配另一傳言版本，指出：「醫院護士戴口罩和護目鏡，透過紫外線，可以睇到病毒分佈。保護自己、保護屋企人、控疫情，必要出門記得要戴口罩，勤洗手。#疫情快啲過去#保護自己勤洗手戴口罩非必要勿出街#農場種咗瓜瓜花花養咗魚魚蝦蝦疫情過後一齊玩啦」圖1：社群平台流傳訊息擷圖圖2：此圖片社群平台也搭配另一傳言版本。,背景 通訊 軟體 社群 平台 流傳 一張 圖片 搭配 文字 訊息 指出 一位 護士 在 摘掉 口罩 和 眼鏡 罩 後 在 紫外 線 下 顯出 臉上 仍 有 殘留 的 病毒 這 就是 為 什麼 外出 回家 後 一定 要 馬 上 緊閉 眼睛 洗 臉 此 圖片 也 搭配 另 一 傳言 版本 指出 醫院 護士 戴 口罩 和 護目 鏡 透過 紫外 線 可以 睇 到 病毒 分 佈 保護 自己 保護 屋企 人 控 疫情 必要 出門 記得 要 戴 口罩 勤洗手 疫情 快 啲 過 去 保護 自己 勤洗手 戴 口罩 非必要 勿 出 街 農場種 咗 瓜瓜 花花 養 咗 魚 魚 蝦 蝦 疫情 過 後 一齊 玩 啦 圖 1 社群 平台 流傳訊息 擷 圖 圖 2 此 圖片 社群 平台 也 搭配 另 一 傳言 版本
0,背景社群平台、通訊軟體流傳訊息：「中華民國衛福部長: 陳時中提醒大家~再 次 強調 ：別 出門，端午節(6月25日)過後，再看疫情 控制情況！警告 ：一旦染 上，就算治癒了，後遺症也會拖累 後半生 ！這場 瘟疫比17年前的非典更嚴重， 用 的 藥副 作用更大。如 果出了 特 效藥， 也只能保命，僅此而已 ！出門前想 想你家 人 ， 別連累家人，能 不 出門就不出門， 大家一起 轉發 吧 ！這是 一場戰役，不是兒戲， 收起你盲目的 自信和僥倖心理，也收起你事不關己高 高掛起的態度，在這 場戰役中沒有局 外人！在家！在家！在家！不 要 點贊！求 轉發！   ⁠ ⁠     ⁠ — —  陳時中」。此訊息自二月就開始在台灣流傳，更早以前署名為鍾南山。此傳言每隔一段時間就出現，時間點有「元宵過後」、「三月後」、「清明節」等多個版本。圖1：網傳訊息擷圖,背景 社群 平台 通訊 軟體 流傳訊息 中華民國衛福部 長 陳 時 中 提醒 大家 再 次 強調 別 出門 端午 節 6 月 25 日 過 後 再 看 疫情 控制 情況 警告 一旦 染 上 就算 治 癒 了 後 遺症 也 會 拖累 後 半生 這場 瘟疫 比 17 年前 的 非典 更 嚴重 用 的 藥 副 作用 更 大 如 果 出 了 特 效藥 也 只能 保命 僅此 而已 出門 前 想 想 你家 人 別 連累 家人 能 不 出門 就 不 出門 大家 一起 轉發 吧 這 是 一場 戰役 不是 兒戲 收起 你 盲目 的 自信 和 僥倖 心理 也 收起 你 事不關己 高 高 掛起 的 態度 在 這 場 戰役 中 沒有 局 外人 在家 在家 在家 不 要 點 贊 求 轉發 陳 時 中 此 訊 息 自 二月 就 開始 在 台灣 流傳 更 早 以前 署名 為 鍾 南山 此 傳言 每隔 一段 時間 就 出現 時間 點有 元宵 過 後 三月 後 清明 節 等 多個 版本 圖 1 網傳訊息 擷圖
0,背景社群平台、通訊軟體流傳訊息：「中華民國衛福部長: 陳時中提醒大家~再 次 強調 ：別 出門，端午節(6月25日)過後，再看疫情 控制情況！警告 ：一旦染 上，就算治癒了，後遺症也會拖累 後半生 ！這場 瘟疫比17年前的非典更嚴重， 用 的 藥副 作用更大。如 果出了 特 效藥， 也只能保命，僅此而已 ！出門前想 想你家 人 ， 別連累家人，能 不 出門就不出門， 大家一起 轉發 吧 ！這是 一場戰役，不是兒戲， 收起你盲目的 自信和僥倖心理，也收起你事不關己高 高掛起的態度，在這 場戰役中沒有局 外人！在家！在家！在家！不 要 點贊！求 轉發！   ⁠ ⁠     ⁠ — —  陳時中」。此訊息自二月就開始在台灣流傳，更早以前署名為鍾南山。此傳言每隔一段時間就出現，時間點有「元宵過後」、「三月後」、「清明節」等多個版本。圖1：網傳訊息擷圖,背景 社群 平台 通訊 軟體 流傳訊息 中華民國衛福部 長 陳 時 中 提醒 大家 再 次 強調 別 出門 端午 節 6 月 25 日 過 後 再 看 疫情 控制 情況 警告 一旦 染 上 就算 治 癒 了 後 遺症 也 會 拖累 後 半生 這場 瘟疫 比 17 年前 的 非典 更 嚴重 用 的 藥 副 作用 更 大 如 果 出 了 特 效藥 也 只能 保命 僅此 而已 出門 前 想 想 你家 人 別 連累 家人 能 不 出門 就 不 出門 大家 一起 轉發 吧 這 是 一場 戰役 不是 兒戲 收起 你 盲目 的 自信 和 僥倖 心理 也 收起 你 事不關己 高 高 掛起 的 態度 在 這 場 戰役 中 沒有 局 外人 在家 在家 在家 不 要 點 贊 求 轉發 陳 時 中 此 訊 息 自 二月 就 開始 在 台灣 流傳 更 早 以前 署名 為 鍾 南山 此 傳言 每隔 一段 時間 就 出現 時間 點有 元宵 過 後 三月 後 清明 節 等 多個 版本 圖 1 網傳訊息 擷圖
0,背景社群平台、通訊軟體流傳一段影片，搭配文字宣稱：「記者探望病愈在家的英國首相強生(Boris Johnson) 。他的家真像是遺棄的三綫軍工場舊址，牆壁更是“色彩斑燦”….. 。巷道破舊， 紅磚牆 破爛，沒有貼磁磚， 就像台灣 40年前的小巷人家。也許是客廳太小只好自己端着茶盤，在室外招待記者。所有的茶杯也各式各樣，頭髮蓬亂，衣衫随意，完全普通平民模樣 。」圖1：社群平台流傳訊息擷圖圖2：此訊息在社群平台上廣泛流傳。,背景 社群 平台 通訊 軟體 流傳 一段 影片 搭配 文字 宣稱 記者 探望 病愈 在家 的 英國 首相 強生 Boris Johnson 他 的 家 真 像是 遺棄 的 三 綫 軍 工 場 舊 址 牆壁 更是 色彩 斑燦 .. 巷道 破舊 紅 磚牆 破爛 沒有 貼 磁磚 就 像 台灣 40 年前 的 小巷 人家 也許 是 客廳 太小 只好 自己 端 着 茶盤 在 室外 招待 記者 所有 的 茶杯 也 各式 各樣 頭 髮 蓬 亂 衣衫 随意 完全 普通 平民 模樣 圖 1 社群 平台 流傳訊息 擷 圖 圖 2 此 訊 息 在 社群 平台 上 廣泛 流傳
0,背景社群平台、通訊軟體流傳一段影片。其搭配文字訊息宣稱：「台灣幾乎絕跡 ~獨領台灣山林的雲豹再現蹤影！美麗的花紋，真令人讚嘆。」圖1：社群平台流傳訊息擷圖,背景 社群 平台 通訊 軟體 流傳 一段 影片 其 搭配 文字 訊息 宣稱 台灣 幾乎 絕跡 獨領 台灣 山林 的 雲豹再現 蹤 影 美麗 的 花紋 真令人 讚 嘆 圖 1 社群 平台 流傳訊息 擷圖
