t,content,content_tokenized
1,立刻停用檢修12品牌54款除濕機召回LINETODAY,立刻 停用 檢修 12 品牌 54 款 除 濕機 召回 LINETODAY
1,警訊COLDLOCK勒索軟體鎖定攻擊台灣企業一隻名為COLDLOCK的勒索軟體Ransomware正鎖定台灣的企業進行攻擊，目前已有企業資訊系統與營運造成嚴重影響。在此特別提醒請務必要備份資料一旦發現wordexcel文書檔格式被更改請立即移除網路線避免災情擴散關心您的資訊安全1090506,警訊 COLDLOCK 勒索 軟體 鎖定 攻擊 台灣企業一 隻 名 為 COLDLOCK 的 勒索 軟體 Ransomware 正 鎖定 台灣 的 企業 進行 攻擊 目前 已有 企業 資訊 系統 與 營運 造成 重影 在 此 特別 提醒 請務 必要 備份 資料 一旦 發現 wordexcel 文書 檔 格式 被 更改 請 立即 移除 網路線 避免 災情 擴散 關心 您 的 資訊 安全 1090506
1,好消息若是有農保及農會信用部戶頭的朋友，政府將於515五前把10000的紓困款匯至個人戶頭，無需再到農會申請歡迎大家廣傳分享,好消息 若是 有 農保 及 農會 信用 部戶 頭 的 朋友 政府 將 於 515 五前 把 10000 的 紓 困款 匯 至 個人 戶頭 無需 再 到 農會 申請 歡迎 大家 廣傳 分享
1,台電回饋金採登錄制!630前要登入，71就截止申請!撥打1911告訴台電服務人員你家的電號就可以了晚上也有服務不知道電號告訴地址也可以完成登錄喔504元不拿白不拿馬上就去辦。沒登錄，無法拿到獎勵，台電也不會感激咱們民眾已查證屬實,台電 回饋 金採登 錄制 630 前要 登入 71 就 截止 申請 撥 打 1911 告訴 台電 服務 人員 你家 的 電號 就 可以 了 晚上 也 有 服務 不 知道 電號 告訴 地址 也 可以 完成 登錄 喔 504 元 不 拿 白 不 拿 馬 上 就 去 辦 沒 登錄 無法 拿到 獎勵 台電 也 不 會 感激 咱們 民眾 已 查 證屬 實
1,20200414前幾天中國才傳出要BAN掉動物森友會的消息，現在又有進一步消息指出，要實施史上最嚴厲的遊戲規範，真的要在牆內圈圈玩遊戲了。據報導，遊戲的新禁令不僅限於廣東，連上海北京都同步跟進，內文實在是落落長，節錄以下規範重點，不愧是史上最嚴的遊戲審查制度1遊戲出版禁止換皮在多地申報，違者暫停遊戲出版業務6個月。2主機遊戲與小遊戲要求營運平台要完成實名認證。3連線遊戲端對端，非連線到伺服器與純單機在下載與購買時要完成實名認證。4所有既有未認證用戶，也要完成實名認證，若無認證受到投訴，也要按照最新的實名認證和防沉迷要求進行處罰。5不得在遊戲宣揚全球共同伺服器功能，如果有，應該即時下架及刪除該功能。6不得在遊戲中出現殭屍瘟疫等對應武漢肺炎疫情的題材，確保遊戲聊天命名系統不會出現不當言論等等7譴責部分玩家利用地圖創造玩法地圖編輯功能，自行編輯遊戲世界，宣揚分裂祖國思想。,20200414 前 幾天 中國 才 傳出 要 BAN 掉 動物 森友 會 的 消息 現在 又 有 進 一步 消息 指出 要 實施 史 上 最 嚴厲 的 遊戲 規範 真的 要 在 牆內 圈圈 玩 遊戲 了 據 報導 遊戲 的 新 禁令 不僅 限 於 廣東 連 上海 北京 都 同步 跟 進 內文 實在 是 落落 長 節錄 以下 規範 重點 不愧 是 史 上 最嚴 的 遊戲 審查 制度 1 遊戲 出版 禁止 換皮 在 多 地 申報 違者 暫停 遊戲 出版 業務 6 個 月 2 主機 遊戲 與 小遊 戲 要求 營運 平台 要 完成 實名 認證 3 連線 遊 戲端 對端 非 連 線 到 伺服器 與 純 單機 在 下載 與 購買 時 要 完成 實名 認證 所有 既有 未 認證 用戶 也 要 完成 實名 認證 若 無 認證 受到 投訴 也 要 按照 最新 的 實名 認證 和 防沉迷 要求 進行 處罰 不得 在 遊戲 宣揚 全球 共同 伺服器 功能 如果 有 應該 即時 下架 及 刪除 該 功能 不得 在 遊戲 中出現 殭 屍 瘟疫 等 對應 武漢 肺炎 疫情 的 題材 確保 遊戲 聊天 命名 系統 不 會 出現 不當言論 等等 7 譴責 部分 玩家 利用 地圖 創造 玩法 地圖 編輯 功能 自行 編輯 遊戲 世界 宣揚 分裂 祖國 思想
1,0505LINEmessenger好友免費貼圖生活市集魚子醬母親節系列兒女告白版lineshopdetail17420LINE旅遊GGlineshopdetail17421荒野亂鬥瘋狂滿點貼圖lineshopdetail17437pencil十點後才開放下載嘿sunflower,0505 LINEmessenger 好友 免費 貼圖 生活 市集 魚子 醬母 親節 系列 兒女 告白 版 lineshopdetail17420LINE 旅遊 GGlineshopdetail17421 荒野 亂 鬥 瘋狂 滿點 貼圖 lineshopdetail17437pencil 十點 後 才 開 放下 載 嘿 sunflower
1,海外辦事處每人每2個月限領取1次，每次15片。申請人應詳實填具海外國人急難救助醫療口罩申請表,海外 辦事 處 每人 每 2 個 月 限領 取 1 次 每次 15 片 申請 人應 詳實 填具 海外 國人 急難 救助 醫療 口罩 申請 表
1,好消息台中機場將於4月30日，5月1日上午11點至晚上8點開放免稅店讓民眾購買免稅商品。5月2日則是上午11點到下午3點止。共開放3天，民眾要把握機會喔,好消息 台中 機場 將 於 4 月 30 日 5 月 1 日 上午 11 點 至 晚上 8 點 開 放免 稅店 讓 民眾 購買 免稅 商品 5 月 2 日 則 是 上午 11 點 到 下午 3 點止 共 開放 3 天 民眾 要 把握 機會 喔
1,不想洗腎，就控制慾望，不要再吃起司了影片報導詳細看，太可怕了然而，我們吃的起司，大部分都是再生的。,不想 洗 腎 就 控制 慾 望 不要 再 吃 起司 了 影片 報導 詳細 看 太 可怕 了 然而 我們 吃 的 起司 大部分 都 是 再生 的
1,口罩沒有繩子健保口罩專利口罩健保口罩沒有棉繩是瑕疵品嗎恭喜你拿到了台灣專利限量版Z折口罩,口罩 沒有 繩子 健保 口罩 專利 口罩 健 保 口罩 沒有 棉繩 是 瑕疵品 恭喜 你 拿到 了 台灣 專利 限量版 Z 折 口罩
